hour,location,hourly_cf_solar,hourly_cf_wind
0,48001,0.0,0.3108333333333333
0,48003,0.0,0.4956666666666666
0,48005,0.0,0.26155
0,48007,0.0,0.28
0,48009,0.0,0.6635
0,48011,0.0,0.34005
0,48013,0.0,0.55105
0,48015,0.0,0.407
0,48017,0.0,0.566925
0,48019,0.0,0.5751
0,48021,0.0,0.4857333333333333
0,48023,0.0,0.6030500000000001
0,48025,0.0,0.4113
0,48027,0.0,0.671
0,48029,0.0,0.52175
0,48031,0.0,0.5798333333333333
0,48033,0.0,0.48856
0,48035,0.0,0.5852666666666666
0,48037,0.0,0.35905
0,48039,0.0,0.282
0,48041,0.0,0.456
0,48043,0.0,0.31335
0,48045,0.0,0.4091833333333334
0,48047,0.0,0.3213
0,48049,0.0,0.58118
0,48051,0.0,0.47395
0,48053,0.0,0.53915
0,48055,0.0,0.496
0,48057,0.0,0.28925
0,48059,0.0,0.6856
0,48061,0.0,0.2685
0,48063,0.0,0.0
0,48065,0.0,0.7385
0,48067,0.0,0.4201
0,48069,0.0,0.57475
0,48071,0.0,0.3012
0,48073,0.0,0.2627
0,48075,0.0,0.4730499999999999
0,48077,0.0,0.7125
0,48079,0.0,0.58605
0,48081,0.0,0.4176
0,48083,0.0,0.5203800000000001
0,48085,0.0,0.0
0,48087,0.0,0.46595
0,48089,0.0,0.40245
0,48091,0.0,0.0
0,48093,0.0,0.593125
0,48095,0.0,0.4568
0,48097,0.0,0.7283
0,48099,0.0,0.6711666666666667
0,48101,0.0,0.5267666666666667
0,48103,0.0,0.564675
0,48105,0.0,0.4039166666666667
0,48107,0.0,0.50474
0,48109,0.0,0.1822875
0,48111,0.0,0.58455
0,48113,0.0,0.0
0,48115,0.0,0.485675
0,48117,0.0,0.6432666666666667
0,48119,0.0,0.4875
0,48121,0.0,0.5626
0,48123,0.0,0.4721666666666667
0,48125,0.0,0.51485
0,48127,0.0,0.42445
0,48129,0.0,0.4284166666666666
0,48131,0.0,0.38885
0,48133,0.0,0.5201333333333333
0,48135,0.0,0.6144000000000001
0,48137,0.0,0.5425333333333334
0,48139,0.0,0.5543
0,48141,0.0,0.3729666666666666
0,48143,0.0,0.6242333333333333
0,48145,0.0,0.5484333333333333
0,48147,0.0,0.5453999999999999
0,48149,0.0,0.5301
0,48151,0.0,0.47835
0,48153,0.0,0.4942999999999999
0,48155,0.0,0.55355
0,48157,0.0,0.3107
0,48159,0.0,0.458
0,48161,0.0,0.4117
0,48163,0.0,0.5045000000000001
0,48165,0.0,0.46615
0,48167,0.0,0.0
0,48169,0.0,0.4198
0,48171,0.0,0.6681
0,48173,0.0,0.5627666666666667
0,48175,0.0,0.3512
0,48177,0.0,0.48785
0,48179,0.0,0.7122
0,48181,0.0,0.6362
0,48183,0.0,0.0
0,48185,0.0,0.4092
0,48187,0.0,0.427
0,48189,0.0,0.56585
0,48191,0.0,0.375625
0,48193,0.0,0.6443333333333334
0,48195,0.0,0.68105
0,48197,0.0,0.5957
0,48199,0.0,0.2738
0,48201,0.0,0.314
0,48203,0.0,0.353
0,48205,0.0,0.49235
0,48207,0.0,0.5718666666666666
0,48209,0.0,0.0
0,48211,0.0,0.5443999999999999
0,48213,0.0,0.5125
0,48215,0.0,0.3032749999999999
0,48217,0.0,0.6684333333333333
0,48219,0.0,0.5885
0,48221,0.0,0.57725
0,48223,0.0,0.511
0,48225,0.0,0.3000666666666666
0,48227,0.0,0.50185
0,48229,0.0,0.2642124999999999
0,48231,0.0,0.466
0,48233,0.0,0.556875
0,48235,0.0,0.3341333333333333
0,48237,0.0,0.7006
0,48239,0.0,0.30255
0,48241,0.0,0.3246
0,48243,0.0,0.31955
0,48245,0.0,0.26895
0,48247,0.0,0.45605
0,48249,0.0,0.3497
0,48251,0.0,0.533
0,48253,0.0,0.61625
0,48255,0.0,0.5454
0,48257,0.0,0.519
0,48259,0.0,0.6003000000000001
0,48261,0.0,0.31565
0,48263,0.0,0.4882749999999999
0,48265,0.0,0.63785
0,48267,0.0,0.44986
0,48269,0.0,0.5341666666666667
0,48271,0.0,0.522275
0,48273,0.0,0.3068333333333333
0,48275,0.0,0.50165
0,48277,0.0,0.5497000000000001
0,48279,0.0,0.5257333333333333
0,48281,0.0,0.5523
0,48283,0.0,0.5285333333333333
0,48285,0.0,0.39125
0,48287,0.0,0.467
0,48289,0.0,0.40105
0,48291,0.0,0.2826
0,48293,0.0,0.5672999999999999
0,48295,0.0,0.0
0,48297,0.0,0.4718666666666666
0,48299,0.0,0.3677399999999999
0,48301,0.0,0.31605
0,48303,0.0,0.0
0,48305,0.0,0.4915
0,48307,0.0,0.47074
0,48309,0.0,0.604125
0,48311,0.0,0.5152749999999999
0,48313,0.0,0.36245
0,48315,0.0,0.32095
0,48317,0.0,0.5242
0,48319,0.0,0.4430166666666666
0,48321,0.0,0.29335
0,48323,0.0,0.3889666666666667
0,48325,0.0,0.532675
0,48327,0.0,0.4455333333333333
0,48329,0.0,0.523
0,48331,0.0,0.5358666666666667
0,48333,0.0,0.5912000000000001
0,48335,0.0,0.3970499999999999
0,48337,0.0,0.7182000000000001
0,48339,0.0,0.3493
0,48341,0.0,0.5981000000000001
0,48343,0.0,0.4162
0,48345,0.0,0.535125
0,48347,0.0,0.3315
0,48349,0.0,0.56105
0,48351,0.0,0.2883
0,48353,0.0,0.4982333333333333
0,48355,0.0,0.3409
0,48357,0.0,0.5372
0,48359,0.0,0.5695666666666667
0,48361,0.0,0.2992
0,48363,0.0,0.56145
0,48365,0.0,0.32375
0,48367,0.0,0.573
0,48369,0.0,0.601
0,48371,0.0,0.5811428571428572
0,48373,0.0,0.2928
0,48375,0.0,0.557
0,48377,0.0,0.3437333333333334
0,48379,0.0,0.0
0,48381,0.0,0.3895666666666666
0,48383,0.0,0.4684333333333333
0,48385,0.0,0.56902
0,48387,0.0,0.42365
0,48389,0.0,0.3112333333333333
0,48391,0.0,0.3044333333333333
0,48393,0.0,0.46272
0,48395,0.0,0.5411
0,48397,0.0,0.0
0,48399,0.0,0.50254
0,48401,0.0,0.3518
0,48403,0.0,0.2882
0,48405,0.0,0.34255
0,48407,0.0,0.2893
0,48409,0.0,0.34065
0,48411,0.0,0.4977
0,48413,0.0,0.4518999999999999
0,48415,0.0,0.474425
0,48417,0.0,0.5693333333333334
0,48419,0.0,0.3017
0,48421,0.0,0.7042999999999999
0,48423,0.0,0.329
0,48425,0.0,0.0
0,48427,0.0,0.41935
0,48429,0.0,0.6266333333333334
0,48431,0.0,0.4519
0,48433,0.0,0.5225333333333334
0,48435,0.0,0.514375
0,48437,0.0,0.6313500000000001
0,48439,0.0,0.0
0,48441,0.0,0.4927999999999999
0,48443,0.0,0.3204166666666667
0,48445,0.0,0.4609666666666667
0,48447,0.0,0.582
0,48449,0.0,0.40075
0,48451,0.0,0.452
0,48453,0.0,0.5766
0,48455,0.0,0.29555
0,48457,0.0,0.31305
0,48459,0.0,0.40035
0,48461,0.0,0.5697
0,48463,0.0,0.4991333333333332
0,48465,0.0,0.4556166666666667
0,48467,0.0,0.0
0,48469,0.0,0.3285
0,48471,0.0,0.3316333333333334
0,48473,0.0,0.0
0,48475,0.0,0.5518
0,48477,0.0,0.0
0,48479,0.0,0.52785
0,48481,0.0,0.3401499999999999
0,48483,0.0,0.5335
0,48485,0.0,0.6234000000000001
0,48487,0.0,0.6033666666666666
0,48489,0.0,0.2989333333333333
0,48491,0.0,0.0
0,48493,0.0,0.4789999999999999
0,48495,0.0,0.54314
0,48497,0.0,0.712
0,48499,0.0,0.0
0,48501,0.0,0.4433
0,48503,0.0,0.7088
0,48505,0.0,0.54765
0,48507,0.0,0.4272666666666667
1,48001,0.0,0.3585499999999999
1,48003,0.0,0.5376666666666667
1,48005,0.0,0.27085
1,48007,0.0,0.2515
1,48009,0.0,0.6481
1,48011,0.0,0.3037333333333333
1,48013,0.0,0.4748874999999999
1,48015,0.0,0.311
1,48017,0.0,0.523
1,48019,0.0,0.5575166666666667
1,48021,0.0,0.4637166666666665
1,48023,0.0,0.599425
1,48025,0.0,0.378475
1,48027,0.0,0.589
1,48029,0.0,0.423
1,48031,0.0,0.5689
1,48033,0.0,0.38508
1,48035,0.0,0.5363166666666667
1,48037,0.0,0.3873999999999999
1,48039,0.0,0.2847499999999999
1,48041,0.0,0.416
1,48043,0.0,0.2874124999999999
1,48045,0.0,0.378675
1,48047,0.0,0.2558499999999999
1,48049,0.0,0.51227
1,48051,0.0,0.4354999999999999
1,48053,0.0,0.5479
1,48055,0.0,0.4805
1,48057,0.0,0.3067
1,48059,0.0,0.76145
1,48061,0.0,0.244
1,48063,0.0,0.0
1,48065,0.0,0.69645
1,48067,0.0,0.4156666666666666
1,48069,0.0,0.59495
1,48071,0.0,0.333325
1,48073,0.0,0.2837749999999999
1,48075,0.0,0.44605
1,48077,0.0,0.6960833333333333
1,48079,0.0,0.54025
1,48081,0.0,0.42937
1,48083,0.0,0.51456
1,48085,0.0,0.0
1,48087,0.0,0.449025
1,48089,0.0,0.329225
1,48091,0.0,0.0
1,48093,0.0,0.5941125
1,48095,0.0,0.48221
1,48097,0.0,0.6775
1,48099,0.0,0.6421166666666667
1,48101,0.0,0.4489166666666667
1,48103,0.0,0.4735875
1,48105,0.0,0.459025
1,48107,0.0,0.46236
1,48109,0.0,0.21093125
1,48111,0.0,0.57855
1,48113,0.0,0.0
1,48115,0.0,0.4152125
1,48117,0.0,0.6052833333333334
1,48119,0.0,0.4395
1,48121,0.0,0.59625
1,48123,0.0,0.4307999999999999
1,48125,0.0,0.5219625
1,48127,0.0,0.463975
1,48129,0.0,0.4376749999999999
1,48131,0.0,0.3486
1,48133,0.0,0.57565
1,48135,0.0,0.5615
1,48137,0.0,0.5819333333333334
1,48139,0.0,0.5339
1,48141,0.0,0.2846999999999999
1,48143,0.0,0.6189166666666667
1,48145,0.0,0.5378000000000001
1,48147,0.0,0.4902749999999999
1,48149,0.0,0.46735
1,48151,0.0,0.49405
1,48153,0.0,0.4627166666666665
1,48155,0.0,0.525575
1,48157,0.0,0.2687
1,48159,0.0,0.361
1,48161,0.0,0.4425833333333333
1,48163,0.0,0.4504499999999999
1,48165,0.0,0.4915249999999999
1,48167,0.0,0.0
1,48169,0.0,0.40348
1,48171,0.0,0.6464
1,48173,0.0,0.5383666666666667
1,48175,0.0,0.2952249999999999
1,48177,0.0,0.4427
1,48179,0.0,0.71
1,48181,0.0,0.618
1,48183,0.0,0.0
1,48185,0.0,0.391825
1,48187,0.0,0.4044999999999999
1,48189,0.0,0.5824750000000001
1,48191,0.0,0.3275125
1,48193,0.0,0.6207
1,48195,0.0,0.686975
1,48197,0.0,0.5801333333333334
1,48199,0.0,0.25685
1,48201,0.0,0.2365
1,48203,0.0,0.3088333333333333
1,48205,0.0,0.4744166666666666
1,48207,0.0,0.6151666666666666
1,48209,0.0,0.0
1,48211,0.0,0.4987833333333333
1,48213,0.0,0.46875
1,48215,0.0,0.2977875
1,48217,0.0,0.54895
1,48219,0.0,0.478975
1,48221,0.0,0.627525
1,48223,0.0,0.4876666666666666
1,48225,0.0,0.33485
1,48227,0.0,0.5159875
1,48229,0.0,0.2647999999999999
1,48231,0.0,0.5475000000000001
1,48233,0.0,0.4943249999999999
1,48235,0.0,0.4489999999999999
1,48237,0.0,0.69945
1,48239,0.0,0.32355
1,48241,0.0,0.270675
1,48243,0.0,0.3129416666666667
1,48245,0.0,0.29315
1,48247,0.0,0.397725
1,48249,0.0,0.2788333333333332
1,48251,0.0,0.3845
1,48253,0.0,0.6255
1,48255,0.0,0.4987166666666667
1,48257,0.0,0.43
1,48259,0.0,0.6418999999999999
1,48261,0.0,0.2569125
1,48263,0.0,0.5049125
1,48265,0.0,0.6635
1,48267,0.0,0.46809
1,48269,0.0,0.5085999999999999
1,48271,0.0,0.4747749999999999
1,48273,0.0,0.2502166666666666
1,48275,0.0,0.501625
1,48277,0.0,0.4541
1,48279,0.0,0.5016
1,48281,0.0,0.565875
1,48283,0.0,0.4389833333333333
1,48285,0.0,0.3566
1,48287,0.0,0.4985
1,48289,0.0,0.44495
1,48291,0.0,0.267725
1,48293,0.0,0.5413
1,48295,0.0,0.0
1,48297,0.0,0.3988499999999999
1,48299,0.0,0.3652499999999999
1,48301,0.0,0.273775
1,48303,0.0,0.0
1,48305,0.0,0.4989
1,48307,0.0,0.49649
1,48309,0.0,0.5595125000000001
1,48311,0.0,0.4444875
1,48313,0.0,0.370375
1,48315,0.0,0.323575
1,48317,0.0,0.4615375
1,48319,0.0,0.3960666666666667
1,48321,0.0,0.28395
1,48323,0.0,0.4282666666666666
1,48325,0.0,0.417075
1,48327,0.0,0.4658833333333333
1,48329,0.0,0.515925
1,48331,0.0,0.5084333333333333
1,48333,0.0,0.52715
1,48335,0.0,0.4607
1,48337,0.0,0.66645
1,48339,0.0,0.2845
1,48341,0.0,0.59165
1,48343,0.0,0.405
1,48345,0.0,0.5032375
1,48347,0.0,0.31605
1,48349,0.0,0.516575
1,48351,0.0,0.2412499999999999
1,48353,0.0,0.5100333333333333
1,48355,0.0,0.289
1,48357,0.0,0.5548333333333333
1,48359,0.0,0.5681416666666665
1,48361,0.0,0.2788
1,48363,0.0,0.5592375
1,48365,0.0,0.296975
1,48367,0.0,0.5499499999999999
1,48369,0.0,0.495875
1,48371,0.0,0.5336071428571428
1,48373,0.0,0.3079
1,48375,0.0,0.5265666666666666
1,48377,0.0,0.2973083333333333
1,48379,0.0,0.0
1,48381,0.0,0.3699
1,48383,0.0,0.5114166666666666
1,48385,0.0,0.58445
1,48387,0.0,0.3807125
1,48389,0.0,0.2573666666666666
1,48391,0.0,0.2917333333333333
1,48393,0.0,0.4909499999999999
1,48395,0.0,0.5516
1,48397,0.0,0.0
1,48399,0.0,0.52564
1,48401,0.0,0.34895
1,48403,0.0,0.3185249999999999
1,48405,0.0,0.3646
1,48407,0.0,0.2749749999999999
1,48409,0.0,0.304975
1,48411,0.0,0.5229125000000001
1,48413,0.0,0.52505
1,48415,0.0,0.5089625
1,48417,0.0,0.6635166666666668
1,48419,0.0,0.3331999999999999
1,48421,0.0,0.706975
1,48423,0.0,0.389
1,48425,0.0,0.0
1,48427,0.0,0.3833875
1,48429,0.0,0.6838500000000001
1,48431,0.0,0.5066666666666666
1,48433,0.0,0.5160666666666667
1,48435,0.0,0.5538625
1,48437,0.0,0.597775
1,48439,0.0,0.0
1,48441,0.0,0.5458000000000001
1,48443,0.0,0.291925
1,48445,0.0,0.4417166666666666
1,48447,0.0,0.63775
1,48449,0.0,0.42945
1,48451,0.0,0.4614999999999999
1,48453,0.0,0.583
1,48455,0.0,0.29455
1,48457,0.0,0.271625
1,48459,0.0,0.409575
1,48461,0.0,0.5695250000000001
1,48463,0.0,0.39105
1,48465,0.0,0.4623416666666666
1,48467,0.0,0.0
1,48469,0.0,0.3421
1,48471,0.0,0.3449333333333333
1,48473,0.0,0.0
1,48475,0.0,0.4739166666666666
1,48477,0.0,0.0
1,48479,0.0,0.5157833333333334
1,48481,0.0,0.3331
1,48483,0.0,0.5179499999999999
1,48485,0.0,0.5645333333333333
1,48487,0.0,0.5179333333333334
1,48489,0.0,0.2453999999999999
1,48491,0.0,0.0
1,48493,0.0,0.4251666666666666
1,48495,0.0,0.55572
1,48497,0.0,0.6965
1,48499,0.0,0.0
1,48501,0.0,0.5085249999999999
1,48503,0.0,0.68825
1,48505,0.0,0.472725
1,48507,0.0,0.4249666666666667
2,48001,0.0,0.3958333333333333
2,48003,0.0,0.5010333333333333
2,48005,0.0,0.23035
2,48007,0.0,0.253
2,48009,0.0,0.63105
2,48011,0.0,0.29055
2,48013,0.0,0.3934499999999999
2,48015,0.0,0.313
2,48017,0.0,0.49395
2,48019,0.0,0.5153666666666666
2,48021,0.0,0.4088333333333333
2,48023,0.0,0.5489999999999999
2,48025,0.0,0.366325
2,48027,0.0,0.597
2,48029,0.0,0.357
2,48031,0.0,0.5168
2,48033,0.0,0.3926199999999999
2,48035,0.0,0.6290666666666667
2,48037,0.0,0.3458
2,48039,0.0,0.3225
2,48041,0.0,0.346
2,48043,0.0,0.2700125
2,48045,0.0,0.4103666666666667
2,48047,0.0,0.2557999999999999
2,48049,0.0,0.43764
2,48051,0.0,0.3555
2,48053,0.0,0.531025
2,48055,0.0,0.408
2,48057,0.0,0.2959
2,48059,0.0,0.7313
2,48061,0.0,0.26715
2,48063,0.0,0.0
2,48065,0.0,0.7626
2,48067,0.0,0.3707666666666667
2,48069,0.0,0.60555
2,48071,0.0,0.3278
2,48073,0.0,0.2932
2,48075,0.0,0.377975
2,48077,0.0,0.6950333333333333
2,48079,0.0,0.52145
2,48081,0.0,0.4240799999999999
2,48083,0.0,0.49984
2,48085,0.0,0.0
2,48087,0.0,0.4377
2,48089,0.0,0.32955
2,48091,0.0,0.0
2,48093,0.0,0.567375
2,48095,0.0,0.4389599999999999
2,48097,0.0,0.6706
2,48099,0.0,0.6328666666666667
2,48101,0.0,0.4945666666666666
2,48103,0.0,0.4458
2,48105,0.0,0.4075833333333333
2,48107,0.0,0.4371600000000001
2,48109,0.0,0.2328124999999999
2,48111,0.0,0.5418000000000001
2,48113,0.0,0.0
2,48115,0.0,0.389275
2,48117,0.0,0.6310666666666668
2,48119,0.0,0.42085
2,48121,0.0,0.6129
2,48123,0.0,0.3966
2,48125,0.0,0.537325
2,48127,0.0,0.47345
2,48129,0.0,0.3939833333333333
2,48131,0.0,0.378775
2,48133,0.0,0.6137
2,48135,0.0,0.55905
2,48137,0.0,0.5805666666666668
2,48139,0.0,0.5638333333333333
2,48141,0.0,0.3021
2,48143,0.0,0.6059
2,48145,0.0,0.4643666666666666
2,48147,0.0,0.530675
2,48149,0.0,0.4325
2,48151,0.0,0.4892249999999999
2,48153,0.0,0.5599333333333333
2,48155,0.0,0.50055
2,48157,0.0,0.2938
2,48159,0.0,0.427
2,48161,0.0,0.4413
2,48163,0.0,0.371
2,48165,0.0,0.4963999999999999
2,48167,0.0,0.0
2,48169,0.0,0.35326
2,48171,0.0,0.6497999999999999
