exp_name,location,asset_type,asset_name,capacity
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48227,solar,solar,7.931141582752488
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48227,wind,wind,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48227,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48227,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48237,solar,solar,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48237,wind,wind,4.954509527789753
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48237,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48237,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48303,solar,solar,7.860666847672576
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48303,wind,wind,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48303,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48303,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48329,solar,solar,7.740111360266063
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48329,wind,wind,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48329,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48329,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48371,solar,solar,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48371,wind,wind,4.85807505731384
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48371,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48371,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48375,solar,solar,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48375,wind,wind,4.917081058662376
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48375,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48375,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48389,solar,solar,7.711798440708179
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48389,wind,wind,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48389,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48389,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48415,solar,solar,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48415,wind,wind,5.26797403430723
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48415,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48415,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48439,solar,solar,8.787523907203713
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48439,wind,wind,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48439,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48439,storage,lithium_ion,100.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48475,solar,solar,7.570018804773085
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48475,wind,wind,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48475,geothermal,geothermal,0.0
onlyren_100MW___001__ren_penetration=0__site_gen_penetration=0,48475,storage,lithium_ion,100.0
onlyren_100MW___002__ren_penetration=0__site_gen_penetration=0.2,48237,solar,solar,0.5549666684646084
onlyren_100MW___002__ren_penetration=0__site_gen_penetration=0.2,48237,wind,wind,46.7098406095848
onlyren_100MW___002__ren_penetration=0__site_gen_penetration=0.2,48237,geothermal,geothermal,0.0
onlyren_100MW___002__ren_penetration=0__site_gen_penetration=0.2,48237,storage,lithium_ion,100.0
onlyren_100MW___002__ren_penetration=0__site_gen_penetration=0.2,48305,solar,solar,40.06714246095938
onlyren_100MW___002__ren_penetration=0__site_gen_penetration=0.2,48305,wind,wind,22.156242672727316
