exp_name,location,asset_type,asset_name,capacity
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48441,geothermal,geothermal,0.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48441,storage,lithium_ion,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48441,smr,smr,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48441,gas_turbine,gas,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48441,diesel,diesel,10.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48461,solar,solar,138.73671751249958
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48461,wind,wind,209.5783149646891
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48461,geothermal,geothermal,0.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48461,storage,lithium_ion,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48461,smr,smr,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48461,gas_turbine,gas,100.0
all_gen_1GW___001__ren_penetration=0__site_gen_penetration=0,48461,diesel,diesel,10.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48189,solar,solar,104.42954577818091
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48189,wind,wind,223.6714823177458
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48189,geothermal,geothermal,0.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48189,storage,lithium_ion,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48189,smr,smr,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48189,gas_turbine,gas,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48189,diesel,diesel,10.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48195,solar,solar,123.69871455720704
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48195,wind,wind,204.8581442674313
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48195,geothermal,geothermal,0.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48195,storage,lithium_ion,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48195,smr,smr,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48195,gas_turbine,gas,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48195,diesel,diesel,10.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48279,solar,solar,121.1931119546548
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48279,wind,wind,214.8297421535124
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48279,geothermal,geothermal,0.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48279,storage,lithium_ion,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48279,smr,smr,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48279,gas_turbine,gas,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48279,diesel,diesel,10.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48353,solar,solar,120.1048455454802
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48353,wind,wind,221.24966259679383
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48353,geothermal,geothermal,0.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48353,storage,lithium_ion,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48353,smr,smr,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48353,gas_turbine,gas,100.0
all_gen_1GW___002__ren_penetration=0__site_gen_penetration=0.2,48353,diesel,diesel,10.0
