,hourly_cf_solar
191,0.0
445,0.0
699,0.0
953,0.0
1207,0.0
1461,0.0
1715,0.0
1969,0.0
2223,2.0122903348095407
2477,20.204208008087708
2731,32.43039625443052
2985,32.166156109455535
3239,30.71283531209309
3493,30.504492120862803
3747,31.622431195756995
4001,32.43547779568004
4255,31.10919552955557
4509,30.097968820901286
4763,17.216261753370514
5017,0.5488064549480565
5271,0.0
5525,0.0
5779,0.0
6033,0.0
6287,0.0
6541,0.0
6795,0.0
7049,0.0
7303,0.0
7557,0.0
7811,0.0
8065,0.0
8319,7.309797087433141
8573,21.339932477355216
8827,32.791185683146374
9081,34.338514993624926
9335,35.45899483914387
9589,36.72175783964936
9843,36.93772334275391
10097,36.88690793025872
10351,36.04591285346332
10605,33.90658398741581
10859,29.655874732193126
11113,15.389447674168418
11367,0.7800165818011678
11621,0.0
11875,0.0
12129,0.0
12383,0.0
12637,0.0
12891,0.0
13145,0.0
13399,0.0
13653,0.0
13907,0.0
14161,0.030489247497114246
14415,13.046857158140138
14669,31.05838011706038
14923,36.93772334275391
15177,37.91337926266157
15431,37.85240076766734
15685,37.74314763080268
15939,37.48907056832673
16193,37.32646124834212
16447,37.35186895458971
16701,36.25679681531836
16955,33.64996615431509
17209,25.057079901378394
17463,7.535925673036738
17717,0.0
17971,0.0
18225,0.0
18479,0.0
18733,0.0
18987,0.0
19241,0.0
19495,0.0
19749,0.0
20003,0.0
20257,0.0
20511,2.0122903348095353
20765,20.58024206055212
21019,29.942981812790954
21273,30.750946871464485
21527,28.987652057881366
21781,28.362622484190528
22035,29.51867311845611
22289,31.0761655114337
22543,29.815943281552983
22797,13.524522035594929
23051,0.048274641870430894
23305,0.0
23559,0.0
23813,0.0
24067,0.0
24321,0.0
