,hourly_cf_solar
185,0.0
439,0.0
693,0.0
947,0.0
1201,0.0
1455,0.0
1709,0.0
1963,0.0
2217,0.0
2471,0.0
2725,0.0
2979,0.0
3233,0.0
3487,0.0
3741,0.0
3995,0.0
4249,0.0
4503,0.0
4757,0.0
5011,0.0
5265,0.0
5519,0.0
5773,0.0
6027,0.0
6281,0.0
6535,0.0
6789,0.0
7043,0.0
7297,0.0
7551,0.0
7805,0.0
8059,0.0
8313,0.0
8567,0.0
8821,0.0
9075,0.0
9329,0.0
9583,0.0
9837,0.0
10091,0.0
10345,0.0
10599,0.0
10853,0.0
11107,0.0
11361,0.0
11615,0.0
11869,0.0
12123,0.0
12377,0.0
12631,0.0
12885,0.0
13139,0.0
13393,0.0
13647,0.0
13901,0.0
14155,0.0
14409,0.0
14663,0.0
14917,0.0
15171,0.0
15425,0.0
15679,0.0
15933,0.0
16187,0.0
16441,0.0
16695,0.0
16949,0.0
17203,0.0
17457,0.0
17711,0.0
17965,0.0
18219,0.0
18473,0.0
18727,0.0
18981,0.0
19235,0.0
19489,0.0
19743,0.0
19997,0.0
20251,0.0
20505,0.0
20759,0.0
21013,0.0
21267,0.0
21521,0.0
21775,0.0
22029,0.0
22283,0.0
22537,0.0
22791,0.0
23045,0.0
23299,0.0
23553,0.0
23807,0.0
24061,0.0
24315,0.0
