,hourly_cf_solar
187,0.0
441,0.0
695,0.0
949,0.0
1203,0.0
1457,0.0
1711,0.0
1965,0.0
2219,0.0
2473,0.0
2727,0.0
2981,0.0
3235,0.0
3489,0.0
3743,0.0
3997,0.0
4251,0.0
4505,0.0
4759,0.0
5013,0.0
5267,0.0
5521,0.0
5775,0.0
6029,0.0
6283,0.0
6537,0.0
6791,0.0
7045,0.0
7299,0.0
7553,0.0
7807,0.0
8061,0.0
8315,0.0
8569,0.0
8823,0.0
9077,0.0
9331,0.0
9585,0.0
9839,0.0
10093,0.0
10347,0.0
10601,0.0
10855,0.0
11109,0.0
11363,0.0
11617,0.0
11871,0.0
12125,0.0
12379,0.0
12633,0.0
12887,0.0
13141,0.0
13395,0.0
13649,0.0
13903,0.0
14157,0.0
14411,0.0
14665,0.0
14919,0.0
15173,0.0
15427,0.0
15681,0.0
15935,0.0
16189,0.0
16443,0.0
16697,0.0
16951,0.0
17205,0.0
17459,0.0
17713,0.0
17967,0.0
18221,0.0
18475,0.0
18729,0.0
18983,0.0
19237,0.0
19491,0.0
19745,0.0
19999,0.0
20253,0.0
20507,0.0
20761,0.0
21015,0.0
21269,0.0
21523,0.0
21777,0.0
22031,0.0
22285,0.0
22539,0.0
22793,0.0
23047,0.0
23301,0.0
23555,0.0
23809,0.0
24063,0.0
24317,0.0
