,hourly_cf_solar
215,0.0
469,0.0
723,0.0
977,0.0
1231,0.0
1485,0.0
1739,0.0
1993,0.0
2247,0.2699493997442423
2501,2.2194105755465934
2755,3.387110772898855
3009,3.2414733318036952
3263,3.139527123037084
3517,3.1010372278905054
3771,3.1426479253462656
4025,3.2872450990050313
4279,3.1946612971659656
4533,3.1161211057182188
4787,1.7112399328681256
5041,0.052013371819699866
5295,0.0
5549,0.0
5803,0.0
6057,0.0
6311,0.0
6565,0.0
6819,0.0
7073,0.0
7327,0.0
7581,0.0
7835,0.0
8089,0.0
8343,0.9060729370991716
8597,2.612891733362623
8851,3.304929645423729
9105,3.706732942730911
9359,3.7603067157052017
9613,3.7309191606270713
9867,3.7168755502357524
10121,3.6661625127115447
10375,3.6266323501285727
10629,3.377228232253112
10883,3.040701716579654
11137,1.6186561310290597
11391,0.06111571188814734
11645,0.0
11899,0.0
12153,0.0
12407,0.0
12661,0.0
12915,0.0
13169,0.0
13423,0.0
13677,0.0
13931,0.0
14185,0.013003342954924967
14439,1.4048811728500934
14693,3.172035480424396
14947,3.7509443087776555
15201,3.866934127935586
15455,3.8645935262037
15709,3.826623764775319
15963,3.8029576805973555
16217,3.7967160759789915
16471,3.738721166400026
16725,3.7025718729853345
16979,3.439644278436752
17233,2.55099582089718
17487,0.766677100622376
17741,0.0
17995,0.0
18249,0.0
18503,0.0
18757,0.0
19011,0.0
19265,0.0
19519,0.0
19773,0.0
20027,0.0
20281,0.0
20535,0.2288588360066794
20789,2.179880412963621
21043,3.0409617834387523
21297,3.091414754103861
21551,2.9114484876076996
21805,2.8643763861108713
22059,3.002471888292175
22313,3.1611126723422593
22567,3.023537303879153
22821,1.2566430631639482
23075,0.0
23329,0.0
23583,0.0
23837,0.0
24091,0.0
24345,0.0
