,hourly_cf_wind
230,46.59518095207648
484,46.58086788086951
738,40.84950522470528
992,39.38957196159388
1246,38.483759026638204
1500,36.09961030844787
1754,31.764794457192743
2008,33.2124593735553
2262,30.50933363989526
2516,28.031127596630522
2770,17.547825299750762
3024,12.64048660021664
3278,8.692123671549812
3532,7.665671993563926
3786,6.3243327490246
4040,6.455195114345509
4294,6.886631975012883
4548,7.996917355782479
4802,9.7185753495357
5056,16.772874730116
5310,21.547306339871074
5564,34.46587546639465
5818,43.573078202946725
6072,44.947133038816276
6326,54.27823310353459
6580,59.2162426699408
6834,54.99695375057053
7088,57.03145458641905
7342,56.266727639074986
7596,50.46891143802124
7850,43.054740552808425
8104,36.06996180380486
8358,32.751374008244916
8612,24.862827048743807
8866,20.77440049469444
9120,15.463228714677824
9374,14.152560337010593
9628,12.15281981695043
9882,9.559086841800832
10136,10.955633646709927
10390,11.222470188497093
10644,13.188472754997951
10898,16.921117253331083
11152,18.358558547402964
11406,23.251584175730112
11660,37.39494325267908
11914,52.05561761753726
12168,56.572413945566794
12422,48.513132493811064
12676,46.49396709139859
12930,41.590717840780755
13184,41.24618176958429
13438,44.04438719054781
13692,40.95071908538317
13946,39.98151969222518
14200,32.60517620948795
14454,32.79329085963676
14708,24.926213506946127
14962,20.64047104268632
15216,15.20048162180694
15470,10.539532219478595
15724,9.150141950172989
15978,8.232060668468481
16232,8.611357055453306
16486,9.82183393467173
16740,12.67422455377594
16994,13.368408507314195
17248,15.639075018077795
17502,22.426537856870926
17756,30.06562843247905
18010,42.097809506399265
18264,52.6465429859395
18518,53.27529575681731
18772,49.304440859110954
19026,46.0431053483789
19280,44.72016862396282
19534,38.04209854368014
19788,34.90753594935271
20042,41.59685201415517
20296,33.57335324041688
20550,28.956365413938528
20804,26.98013922514697
21058,19.02207163406913
21312,13.780420485629246
21566,14.177097030508264
21820,17.300413640315917
22074,17.363800098518226
22328,19.196895575240035
22582,17.048912531964792
22836,18.444436974644802
23090,27.55470679788409
23344,38.42037256843589
23598,49.587635196563234
23852,52.37868408192326
24106,55.88743125209015
24360,51.64462800145128
