,hourly_cf_solar
178,0.0
432,0.0
686,0.0
940,0.0
1194,0.0
1448,0.0
1702,0.0
1956,0.0
2210,1.264433086697313
2464,10.197704243932801
2718,15.980172628219295
2972,16.01358244555073
3226,15.30683630969349
3480,15.11922733544775
3734,15.33767614107635
3988,16.0341423331393
4242,16.37852045024792
4496,15.180906998213473
4750,7.563468646646733
5004,0.11564936768572985
5258,0.0
5512,0.0
5766,0.0
6020,0.0
6274,0.0
6528,0.0
6782,0.0
7036,0.0
7290,0.0
7544,0.0
7798,0.0
8052,0.0
8306,3.290867007146157
8560,11.112619241624353
8814,14.87250868438486
9068,17.222760834353746
9322,17.560713986590937
9576,17.779162792219534
9830,18.10940598661101
10084,18.61183823955679
10338,18.394674426902476
10592,18.288020010036746
10846,15.732168984182117
11100,8.902431325852627
11354,0.4510325339743464
11608,0.0
11862,0.0
12116,0.0
12370,0.0
12624,0.0
12878,0.0
13132,0.0
13386,0.0
13640,0.0
13894,0.0
14148,0.12207433255715928
14402,5.79274832808078
14656,14.657914857679113
14910,18.226340347271027
15164,18.89453669389969
15418,18.701787747756804
15672,18.712067691551088
15926,18.487193921051063
16180,18.642678070939652
16434,18.81615212246825
16688,18.69921776180823
16942,17.216335869482315
17196,12.815234932553153
17450,4.037447925206258
17704,0.0
17958,0.0
18212,0.0
18466,0.0
18720,0.0
18974,0.0
19228,0.0
19482,0.0
19736,0.0
19990,0.0
20244,0.0
20498,0.2120238407571714
20752,8.096740730975375
21006,11.381182773250101
21260,12.261402960635934
21514,12.369342370475952
21768,12.646900852921702
22022,13.538685977076106
22276,14.280126923239065
22530,12.076363972338768
22784,3.2022024919204313
23038,0.0
23292,0.0
23546,0.0
23800,0.0
24054,0.0
24308,0.0
