,hourly_cf_wind
245,0.0
499,0.0
753,0.0
1007,0.0
1261,0.0
1515,0.0
1769,0.0
2023,0.0
2277,0.0
2531,0.0
2785,0.0
3039,0.0
3293,0.0
3547,0.0
3801,0.0
4055,0.0
4309,0.0
4563,0.0
4817,0.0
5071,0.0
5325,0.0
5579,0.0
5833,0.0
6087,0.0
6341,0.0
6595,0.0
6849,0.0
7103,0.0
7357,0.0
7611,0.0
7865,0.0
8119,0.0
8373,0.0
8627,0.0
8881,0.0
9135,0.0
9389,0.0
9643,0.0
9897,0.0
10151,0.0
10405,0.0
10659,0.0
10913,0.0
11167,0.0
11421,0.0
11675,0.0
11929,0.0
12183,0.0
12437,0.0
12691,0.0
12945,0.0
13199,0.0
13453,0.0
13707,0.0
13961,0.0
14215,0.0
14469,0.0
14723,0.0
14977,0.0
15231,0.0
15485,0.0
15739,0.0
15993,0.0
16247,0.0
16501,0.0
16755,0.0
17009,0.0
17263,0.0
17517,0.0
17771,0.0
18025,0.0
18279,0.0
18533,0.0
18787,0.0
19041,0.0
19295,0.0
19549,0.0
19803,0.0
20057,0.0
20311,0.0
20565,0.0
20819,0.0
21073,0.0
21327,0.0
21581,0.0
21835,0.0
22089,0.0
22343,0.0
22597,0.0
22851,0.0
23105,0.0
23359,0.0
23613,0.0
23867,0.0
24121,0.0
24375,0.0
