,hourly_cf_wind
207,10.164153637905505
461,10.904090311287307
715,10.654231130590519
969,10.74367696805325
1223,9.284156566341046
1477,9.381636461060905
1731,9.335574532786687
1985,8.751766372101805
2239,7.8589148089259355
2493,7.4122212254294295
2747,5.093056697204165
3001,4.373205166965192
3255,3.8686663712173406
3509,3.6774558084976126
3763,2.901365877458719
4017,2.669985028453333
4271,2.4027187236994307
4525,2.152591741094073
4779,1.9613811783743436
5033,2.743898355218944
5287,4.974688253615763
5541,6.990701021338602
5795,9.306116322843872
6049,10.193611847848318
6303,15.17499514917836
6557,14.598685441933466
6811,12.767188189216077
7065,12.097415615879891
7319,11.604392302200594
7573,10.646197073333386
7827,9.70755138379187
8081,8.61813321972485
8335,9.03911781999854
8589,5.940917539740099
8843,5.1709870525983375
9097,3.499635341206438
9351,3.099271487892723
9605,3.1247126692069704
9859,2.6244587039962575
10113,2.45172647296793
10367,2.6019633436762875
10621,3.3333303559838177
10875,3.660584288257637
11129,6.163728727671208
11383,7.71671199547471
11637,11.481203424257913
11891,12.387445082862335
12145,14.928885195201568
12399,11.307667787503876
12653,11.937002272645833
12907,10.341438501379535
13161,9.839845526625966
13415,8.455041857405083
13669,8.811486197713148
13923,7.784465878343185
14177,6.648985786001947
14431,6.888936296081605
14685,4.984596924232892
14939,4.08612152097703
15193,2.748450987664652
15447,2.324252764488112
15701,1.7067015633232803
15955,1.4153330867979816
16209,1.4943346498264405
16463,1.554322277346355
16717,1.9504013001229328
16971,2.641865828053373
17225,2.508232675676423
17479,3.301461928863863
17733,6.104544505877009
17987,8.38219973827376
18241,9.372531196169488
18495,13.363047435786658
18749,15.088762934618481
19003,13.65548711994624
19257,12.652568972347673
19511,12.092862983434184
19765,11.855858294348808
20019,11.983599804737196
20273,11.323468100109569
20527,10.55701903777923
20781,8.703026424741871
21035,6.7349501986532525
21289,7.15914842182979
21543,6.623812406596268
21797,7.052563262218515
22051,6.862423907133071
22305,7.427753736126551
22559,7.78071665162319
22813,7.897746085668735
23067,8.68374468732476
23321,10.402229534625164
23575,13.24387558647254
23829,13.752163608940387
24083,14.814801582150302
24337,12.967236214918652
