,hourly_cf_wind
220,54.42253341573845
474,60.275606205986314
728,68.11651503820512
982,61.20326302557276
1236,52.876438716427714
1490,54.52744698462027
1744,52.83226458216169
1998,44.95822514924336
2252,44.93061631532709
2506,37.68053652891632
2760,34.84787016910769
3014,30.016324233761594
3268,27.780008686544257
3522,20.574103034399503
3776,18.232873918300367
4030,18.023046780536767
4284,15.908210102550987
4538,15.880601268634711
4792,14.522246639954561
5046,24.141164376380736
5300,34.555216529595306
5554,42.32986416041508
5808,56.60915306190652
6062,52.810177515028684
6316,79.71774704981902
6570,82.78508849791588
6824,72.19710069102887
7078,76.04577213895598
7332,70.25343878332392
7586,68.08614532089723
7840,59.98847433325717
8094,54.26516306241576
8348,51.34414843407509
8602,45.27848762267202
8856,36.03781091089865
9110,27.539811831472754
9364,23.108593987912485
9618,20.695581903631066
9872,21.92969677968804
10126,23.486835012565297
10380,22.423894906789155
10634,24.734754305580392
10888,28.44262070053458
11142,30.952263703522924
11396,45.61807627984205
11650,66.15904871354205
11904,67.35175033872461
12158,77.17773432952278
12412,66.02100454396073
12666,65.05469535689151
12920,61.90728829043747
13174,59.41144970440726
13428,51.70582415837814
13682,49.1547679045154
13936,49.7621622506732
14190,46.233753276174724
14444,39.4806325002567
14698,28.928536177460817
14952,23.359834376550474
15206,17.341108582805056
15460,10.48583512139685
15714,10.088267913002655
15968,8.111475404598183
16222,9.51124328415275
16476,11.65368879605479
16730,13.495198018269562
16984,14.864596180516228
17238,20.68453837006456
17492,26.021325966078265
17746,39.0085214402886
18000,49.18237673843167
18254,61.35787249550385
18508,84.49131443394096
18762,82.8706758830563
19016,79.68461644911949
19270,77.82102015977172
19524,77.59738860504999
19778,76.08166362304712
20032,80.31133697901868
20286,80.30029344545217
20540,82.95350238480509
20794,72.64988556725558
21048,62.57266118781943
21302,51.94049924666638
21556,46.42149334680531
21810,50.96038564263902
22064,43.28236893052616
22318,49.43637801046129
22572,50.976950942988786
22826,46.493276314987604
23080,49.7621622506732
23334,63.5969489261128
23588,86.63928171262624
23842,79.41957164352337
24096,80.06561835716394
24350,75.98227182094857
