,hourly_cf_solar
187,0.0
441,0.0
695,0.0
949,0.0
1203,0.0
1457,0.0
1711,0.0
1965,0.0
2219,0.03225600907919683
2473,0.3876515582152577
2727,0.6224250853755197
2981,0.6319859982462995
3235,0.600212863554516
3489,0.5676671298428712
3743,0.5859197816870874
3997,0.6166305927265622
4251,0.6185620902762147
4505,0.5890101777665313
4759,0.31599299912314976
5013,0.012168434562810781
5267,0.0
5521,0.0
5775,0.0
6029,0.0
6283,0.0
6537,0.0
6791,0.0
7045,0.0
7299,0.0
7553,0.0
7807,0.0
8061,0.0
8315,0.13872981150379116
8569,0.4878962810422228
8823,0.6755412679909636
9077,0.7101633615684847
9331,0.7034996950221837
9585,0.7110325354658285
9839,0.7030651080735117
10093,0.7093907625486238
10347,0.7132054702091875
10601,0.6776659152955813
10855,0.5776143422235817
11109,0.3336179142637289
11363,0.025350905339189125
11617,0.0
11871,0.0
12125,0.0
12379,0.0
12633,0.0
12887,0.0
13141,0.0
13395,0.0
13649,0.0
13903,0.0
14157,0.003524983028115725
14411,0.22067359504779857
14665,0.5535189102916667
14919,0.6740443573899828
15173,0.7093424751098824
15427,0.7092459002323998
15681,0.7129157455767395
15935,0.70557605488806
16189,0.7055277674493188
16443,0.7079904268251257
16697,0.7009887482076353
16951,0.6542465075060447
17205,0.49084181480544276
17459,0.1634046927006019
17713,0.0
17967,0.0
18221,0.0
18475,0.0
18729,0.0
18983,0.0
19237,0.0
19491,0.0
19745,0.0
19999,0.0
20253,0.0
20507,0.008402014340988395
20761,0.31700703533671737
21015,0.4395605548621688
21269,0.5208766017025392
21523,0.4736514866135355
21777,0.47722475708039264
22031,0.5180276428168018
22285,0.5562230068611801
22539,0.5078872806811262
22793,0.17214471911277948
23047,0.0
23301,0.0
23555,0.0
23809,0.0
24063,0.0
24317,0.0
