,hourly_cf_wind
176,53.195335406958684
430,54.455196832934696
684,51.66143632617998
938,51.25215930926688
1192,50.077712217255346
1446,50.13109617598314
1700,48.25553975934655
1954,39.76393139104499
2208,36.507509908649375
2462,39.29415255424036
2716,27.05499028324747
2970,23.214904185427944
3224,23.431998950920978
3478,21.16496017028054
3732,15.392374766514767
3986,13.132453847038038
4240,11.904622796298709
4494,12.04698001957283
4748,12.03630322782727
5002,15.64861776840819
5256,30.247351015169723
5510,37.40436041527636
5764,44.07379632566912
6018,46.19847788303543
6272,76.94585864495554
6526,73.42963523008464
6780,70.76577568956756
7034,76.15043765991136
7288,65.18537253722188
7542,57.20802963799808
7796,58.75082604523142
8050,49.122139356027766
8304,48.67727303329613
8558,37.89015443969931
8812,33.11406959885242
9066,22.517353791384732
9320,20.33750880999969
9574,17.625603706627608
9828,18.11139773105056
10082,18.497541699181625
10336,17.709238575301153
10590,20.62578218712979
10844,21.392731727519138
11098,30.258027806915283
11352,45.225110368898605
11606,53.640201729690325
11860,62.70657738696117
12114,70.04509224674231
12368,59.925273137242954
12622,59.35584424414645
12876,54.95166764910321
13130,49.15416973126446
13384,38.74073884876221
13638,43.84602476843052
13892,43.86737835192164
14146,38.25494482433926
14400,35.39356463652935
14654,25.396528632103905
14908,21.981734738815835
15162,15.411948884714954
15416,11.456197542985215
15670,8.169525150643844
15924,7.719320432039422
16178,7.696187383257383
16432,9.464975882438392
16686,9.685629578513277
16940,13.687647017807114
17194,20.099060461015522
17448,25.054871296246006
17702,36.747737722924455
17956,45.700227601576
18210,51.294866476249105
18464,75.93334289441832
18718,78.56873099028057
18972,73.54885940457673
19226,72.45092932007503
19480,66.47014647727086
19734,68.83505584891226
19988,65.14800376611241
20242,71.70533336317679
20496,74.52934477987726
20750,59.27932723663661
21004,49.99051841799994
21258,41.235549186641244
21512,39.92052433664652
21766,42.19112204786881
22020,44.693050246911554
22274,43.94745429001334
22528,38.94537735721877
22782,40.986424045911534
23036,39.86358144733687
23290,57.89312377500482
23544,71.58077079281193
23798,66.08044357855793
24052,73.16271543644565
24306,73.6680835790688
