,hourly_cf_solar
220,0.0
474,0.0
728,0.0
982,0.0
1236,0.0
1490,0.0
1744,0.0
1998,0.0
2252,2.6418234987001505
2506,15.109261351572039
2760,21.006599025067903
3014,20.038477370264744
3268,19.67091931827168
3522,19.65779224498621
3776,20.34368182415184
4030,20.829383535714104
4284,20.13693041990574
4538,19.493703828917877
4792,9.83217789081447
5046,0.11158012292646596
5300,0.0
5554,0.0
5808,0.0
6062,0.0
6316,0.0
6570,0.0
6824,0.0
7078,0.0
7332,0.0
7586,0.0
7840,0.0
8094,0.0
8348,4.943983976138853
8602,16.113482457910234
8856,19.53308504877428
9110,21.741715129054032
9364,22.852593705836643
9618,23.203742916222872
9872,23.26117386184679
10126,23.318604807470706
10380,23.256251209364738
10634,21.316726131437054
10888,17.60340527581069
11142,8.53259763555328
11396,0.13947515365808247
11650,0.0
11904,0.0
12158,0.0
12412,0.0
12666,0.0
12920,0.0
13174,0.0
13428,0.0
13682,0.0
13936,0.0
14190,0.21167405672814868
14444,9.789514902636705
14698,20.14021218822711
14952,23.02488654270839
15206,24.1554557294192
15460,24.153814845258516
15714,23.93721813604832
15968,23.853533043853467
16222,23.932295483566268
16476,23.653345176250102
16730,23.264455630168158
16984,21.37579796122165
17238,15.350471323192489
17492,4.468127569540688
17746,0.0
18000,0.0
18254,0.0
18508,0.0
18762,0.0
19016,0.0
19270,0.0
19524,0.0
19778,0.0
20032,0.0
20286,0.0
20540,1.832867607483272
20794,12.17700135643094
21048,19.97284200383741
21302,18.989952391588098
21556,17.95291360203624
21810,17.728112472022623
22064,18.774996566538587
22318,19.74475910550243
22572,17.760930155236288
22826,6.816232803478524
23080,0.0
23334,0.0
23588,0.0
23842,0.0
24096,0.0
24350,0.0
