,hourly_cf_solar
185,0.0
439,0.0
693,0.0
947,0.0
1201,0.0
1455,0.0
1709,0.0
1963,0.0
2217,0.01455278071892553
2471,0.22627799288573233
2725,0.37352137178575523
2979,0.3825724915011846
3233,0.38298659501757676
3487,0.3648251979415193
3741,0.36642245436188914
3995,0.37091843539700436
4249,0.36080247806799515
4503,0.3320518625013374
4757,0.2151563555883421
5011,0.02324895456316152
5265,0.0
5519,0.0
5773,0.0
6027,0.0
6281,0.0
6535,0.0
6789,0.0
7043,0.0
7297,0.0
7551,0.0
7805,0.0
8059,0.0
8313,0.0869913172649593
8567,0.27733104069236947
8821,0.38635858079391316
9075,0.4210249608804593
9329,0.4285675606433171
9583,0.4297211347246953
9837,0.4303127111766842
10091,0.42404200078560245
10345,0.4116780529390356
10599,0.395380121686743
10853,0.33855920347321466
11107,0.1973499043834779
11361,0.014730253654522182
11615,0.0
11869,0.0
12123,0.0
12377,0.0
12631,0.0
12885,0.0
13139,0.0
13393,0.0
13647,0.0
13901,0.0
14155,0.0
14409,0.13041302884094036
14663,0.3472257984948512
14917,0.4236870549144091
15171,0.4385356238593291
15425,0.43844688739153076
15679,0.43401006400161446
15933,0.4286562971111154
16187,0.4274731442071377
16441,0.424278631366398
16695,0.4207587514770643
16949,0.3946998087669558
17203,0.3030054587086852
17457,0.10562597550260786
17711,0.0
17965,0.0
18219,0.0
18473,0.0
18727,0.0
18981,0.0
19235,0.0
19489,0.0
19743,0.0
19997,0.0
20251,0.0
20505,0.011979423152774065
20759,0.24319707941261323
21013,0.3591756428250258
21267,0.35947143105102025
21521,0.34125087632976386
21775,0.3350984812290799
22029,0.34559896325188194
22283,0.36358288739234274
22537,0.35181051599776475
22791,0.19678790675408853
23045,0.0032536704859386346
23299,0.0
23553,0.0
23807,0.0
24061,0.0
24315,0.0
