,hourly_cf_wind
230,75.21151746390363
484,75.18841404884978
738,65.9371465637119
992,63.58059822821834
1246,62.11848210409558
1500,58.27011325369573
1754,51.273078980241486
2008,53.60982438854601
2262,49.246579431231616
2516,45.246388139049266
2770,28.32478685603041
3024,20.40361598042181
3278,14.030373913421728
3532,12.373529005273598
3786,10.208408965940581
4040,10.419640189290142
4294,11.116043128770732
4548,12.908208039377177
4802,15.68721882156986
5056,27.07390195525722
5310,34.78054111965142
5564,55.63302344969105
5818,70.33339639967468
6072,72.55132424484508
6326,87.61310061602835
6580,95.58377880960948
6834,88.77322210051852
7088,92.05720752603126
7342,90.82282506458226
7596,81.46429172383718
7850,69.49672272593851
8104,58.22225617965561
8358,52.8655643750253
8612,40.13228219248447
8866,33.53295670674305
9120,24.959939477829163
9374,22.844326756468714
9628,19.616449624658195
9882,15.429780768112566
10136,17.684013979796195
10390,18.11472764615741
10644,21.288146728198107
10898,27.313187325457882
11152,29.63343029443825
11406,37.53149775499299
11660,60.36097231606993
11914,84.02547030695061
12168,91.31624800037537
12422,78.30737508112065
12676,75.0481433145942
12930,67.13357341471529
13184,66.57744120949026
13438,71.09415885251957
13692,66.10052071302133
13946,64.53608946508862
14200,52.629579492689444
14454,52.93322437625445
14708,40.23459731629442
14962,33.31677475159623
15216,24.535826787197628
15470,17.01236469930188
15724,14.769683195145186
15978,13.28776414383341
16232,13.900004642760656
16486,15.853893458744125
16740,20.45807403019162
16994,21.57858966030374
17248,25.243781434205136
17502,36.199750901531274
17756,48.530373564562005
18010,67.95209440519483
18264,84.97931129988848
18518,85.99421131832584
18772,79.58466388481256
19026,74.32038574039768
19280,72.18497009184819
19534,61.40557672529082
19788,56.345928828495815
20042,67.14347487830979
20296,54.19236049668974
20550,46.739858897887984
20804,43.5499373765231
21058,30.704438606577813
21312,22.24363796506838
21566,22.883932610846756
21820,27.925427824385142
22074,28.027742948195076
22328,30.98663031902137
22582,27.519467817010202
22836,29.772050784761383
23090,44.47737446654227
23344,62.01616698028563
23598,80.04178145409247
23852,84.54694738959486
24106,90.210584565655
24360,83.3620722461184
