,hourly_cf_solar
187,0.0
441,0.0
695,0.0
949,0.0
1203,0.0
1457,0.0
1711,0.0
1965,0.0
2219,0.35996083158188086
2473,4.325996341226556
2727,6.945950777081503
2981,7.052645754107271
3235,6.698073557728712
3489,6.334879545024838
3743,6.538569955710393
3997,6.881287154641645
4251,6.9028416954549305
4505,6.573057221011651
4759,3.5263228770536355
5013,0.13579360712370356
5267,0.0
5521,0.0
5775,0.0
6029,0.0
6283,0.0
6537,0.0
6791,0.0
7045,0.0
7299,0.0
7553,0.0
7807,0.0
8061,0.0
8315,1.548154893914287
8569,5.444677009436115
8823,7.538700649446876
9077,7.925065793525032
9331,7.850702627719196
9585,7.9347653368910125
9839,7.845852856036206
10093,7.916443977199719
10347,7.95901419530596
10601,7.562410644341491
10855,6.445885430213263
11109,3.7230080619748724
11363,0.2829033481743824
11617,0.0
11871,0.0
12125,0.0
12379,0.0
12633,0.0
12887,0.0
13141,0.0
13395,0.0
13649,0.0
13903,0.0
14157,0.039337036984246385
14411,2.462606287917956
14665,6.176992533567517
14919,7.521995880316579
15173,7.915905113679385
15427,7.914827386638722
15681,7.955781014183966
15935,7.8738737590934775
16189,7.873334895573146
16443,7.900816935110087
16697,7.822681724661924
16951,7.301061836980395
17205,5.4775476841763755
17459,1.8235141528040193
17713,0.0
17967,0.0
18221,0.0
18475,0.0
18729,0.0
18983,0.0
19237,0.0
19491,0.0
19745,0.0
19999,0.0
20253,0.0
20507,0.09376225253779531
20761,3.5376390109806106
21015,4.905274625583625
21269,5.812720793822978
21523,5.285712270938128
21777,5.325588171442708
22031,5.78092784612338
22285,6.207168890706116
22539,5.667766506853628
22793,1.9210484499841396
23047,0.0
23301,0.0
23555,0.0
23809,0.0
24063,0.0
24317,0.0
