,hourly_cf_solar
152,0.0
406,0.0
660,0.0
914,0.0
1168,0.0
1422,0.0
1676,0.0
1930,0.0
2184,1.8064298923205864
2438,16.65440242188248
2692,26.51166176778262
2946,26.84010356638636
3200,25.99897213093775
3454,24.881468938127455
3708,24.857436611400352
3962,26.283354663875137
4216,26.81607123965926
4470,25.90684821181719
4724,14.916064121955351
4978,0.664894372783187
5232,0.0
5486,0.0
5740,0.0
5994,0.0
6248,0.0
6502,0.0
6756,0.0
7010,0.0
7264,0.0
7518,0.0
7772,0.0
8026,0.0
8280,6.811161933239816
8534,21.44684891004563
8788,29.485662200261633
9042,29.846147101168178
9296,29.774050120986868
9550,29.834130937804627
9804,29.727988161426588
10058,29.681926201866307
10312,29.507691833094807
10566,27.881504391227494
10820,22.159807936283023
11074,13.5722565191315
11328,0.9612930690841258
11582,0.0
11836,0.0
12090,0.0
12344,0.0
12598,0.0
12852,0.0
13106,0.0
13360,0.0
13614,0.0
13868,0.0
14122,0.04405926566635577
14376,9.905323999354346
14630,24.298685014995204
14884,28.45427484489012
15138,29.675918120184534
15392,29.675918120184534
15646,29.643875017881726
15900,29.63185885451818
16154,29.593807670533597
16408,29.774050120986868
16662,29.597813058321446
16916,28.05373606610507
17170,21.9595385468905
17424,7.68433647099123
17678,0.0
17932,0.0
18186,0.0
18440,0.0
18694,0.0
18948,0.0
19202,0.0
19456,0.0
19710,0.0
19964,0.0
20218,0.0
20472,0.7029455567677669
20726,15.855327558206298
20980,23.771976520892856
21234,23.87611660337697
21488,21.961541240784424
21742,21.520948584120866
21996,22.62243022577976
22250,24.048348278254547
22504,22.96088549385313
22758,9.909329387142197
23012,0.008010775575697042
23266,0.0
23520,0.0
23774,0.0
24028,0.0
24282,0.0
