,hourly_cf_wind
219,0.0
473,0.0
727,0.0
981,0.0
1235,0.0
1489,0.0
1743,0.0
1997,0.0
2251,0.0
2505,0.0
2759,0.0
3013,0.0
3267,0.0
3521,0.0
3775,0.0
4029,0.0
4283,0.0
4537,0.0
4791,0.0
5045,0.0
5299,0.0
5553,0.0
5807,0.0
6061,0.0
6315,0.0
6569,0.0
6823,0.0
7077,0.0
7331,0.0
7585,0.0
7839,0.0
8093,0.0
8347,0.0
8601,0.0
8855,0.0
9109,0.0
9363,0.0
9617,0.0
9871,0.0
10125,0.0
10379,0.0
10633,0.0
10887,0.0
11141,0.0
11395,0.0
11649,0.0
11903,0.0
12157,0.0
12411,0.0
12665,0.0
12919,0.0
13173,0.0
13427,0.0
13681,0.0
13935,0.0
14189,0.0
14443,0.0
14697,0.0
14951,0.0
15205,0.0
15459,0.0
15713,0.0
15967,0.0
16221,0.0
16475,0.0
16729,0.0
16983,0.0
17237,0.0
17491,0.0
17745,0.0
17999,0.0
18253,0.0
18507,0.0
18761,0.0
19015,0.0
19269,0.0
19523,0.0
19777,0.0
20031,0.0
20285,0.0
20539,0.0
20793,0.0
21047,0.0
21301,0.0
21555,0.0
21809,0.0
22063,0.0
22317,0.0
22571,0.0
22825,0.0
23079,0.0
23333,0.0
23587,0.0
23841,0.0
24095,0.0
24349,0.0
