,hourly_cf_solar
223,0.0
477,0.0
731,0.0
985,0.0
1239,0.0
1493,0.0
1747,0.0
2001,0.0
2255,4.384955687029556
2509,24.155631036717075
2763,32.24503003460941
3017,31.364968916559132
3271,30.408158282399828
3525,30.607707024283314
3779,30.837955572610422
4033,32.33712945394025
4287,29.717412637418505
4541,30.11651012118549
4795,12.970668222426982
5049,0.040933075258152214
5303,0.0
5557,0.0
5811,0.0
6065,0.0
6319,0.0
6573,0.0
6827,0.0
7081,0.0
7335,0.0
7589,0.0
7843,0.0
8097,0.0
8351,6.623483240209755
8605,24.398671171062354
8859,29.361806546113307
9113,33.38348119022676
9367,35.67061677027601
9621,35.882957098177684
9875,36.41252875933003
10129,36.545561253919026
10383,36.709293554951635
10637,33.95142760943362
10891,27.619592530438208
11145,13.689555356648281
11399,0.1176825913671876
11653,0.0
11907,0.0
12161,0.0
12415,0.0
12669,0.0
12923,0.0
13177,0.0
13431,0.0
13685,0.0
13939,0.0
14193,0.46049709665421235
14447,14.812656609043831
14701,30.973546384403054
14955,35.51200110365068
15209,36.88581744200242
15463,36.93186715166783
15717,36.75022663020979
15971,36.555794522733564
16225,36.583936011973535
16479,36.38438727009005
16733,35.72689974875598
16987,32.46248699691834
17241,22.825306090827127
17495,5.75365539097402
17749,0.0
18003,0.0
18257,0.0
18511,0.0
18765,0.0
19019,0.0
19273,0.0
19527,0.0
19781,0.0
20035,0.0
20289,0.0
20543,2.617158499318107
20797,19.60694304865491
21051,27.908682374448905
21305,27.599125992809128
21559,27.064437697249517
21813,26.887913810198732
22067,28.10567279912876
22321,29.55623865358953
22575,24.746602310756646
22829,8.230106444092229
23083,0.0
23337,0.0
23591,0.0
23845,0.0
24099,0.0
24353,0.0
