,hourly_cf_solar
220,0.0
474,0.0
728,0.0
982,0.0
1236,0.0
1490,0.0
1744,0.0
1998,0.0
2252,1.2392027912022308
2506,7.087316336267167
2760,9.853586417994384
3014,9.39946862494512
3268,9.227057801821331
3522,9.220900272424052
3776,9.542631183431837
4030,9.77045977113113
4284,9.445650095424705
4538,9.143931154958075
4792,4.611989518561345
5046,0.0523389998768644
5300,0.0
5554,0.0
5808,0.0
6062,0.0
6316,0.0
6570,0.0
6824,0.0
7078,0.0
7332,0.0
7586,0.0
7840,0.0
8094,0.0
8348,2.319079509249889
8602,7.558367335158947
8856,9.162403743149909
9110,10.19840806424196
9364,10.719488989486626
9618,10.884202900863816
9872,10.911142091976908
10126,10.938081283090002
10380,10.90883301845293
10634,9.99905805000508
10888,8.257246921750019
11142,4.002394108230807
11396,0.06542374984608051
11650,0.0
11904,0.0
12158,0.0
12412,0.0
12666,0.0
12920,0.0
13174,0.0
13428,0.0
13682,0.0
13936,0.0
14190,0.09929016153111041
14444,4.591977548020192
14698,9.447189477774025
14952,10.800306562825902
15206,11.330623782166484
15460,11.329854090991823
15714,11.228254855936735
15968,11.189000606029087
16222,11.225945782412754
16476,11.095098282720594
16730,10.912681474326229
16984,10.026766932292832
17238,7.200460938942154
17492,2.0958690685985553
17746,0.0
18000,0.0
18254,0.0
18508,0.0
18762,0.0
19016,0.0
19270,0.0
19524,0.0
19778,0.0
20032,0.0
20286,0.0
20540,0.8597450420949637
20794,5.711878207150158
21048,9.368680977958729
21302,8.907635964337526
21556,8.421191141952551
21810,8.315743451024161
22064,8.806806420457097
22318,9.261693904681021
22572,8.331137274517356
22826,3.1972971395366874
23080,0.0
23334,0.0
23588,0.0
23842,0.0
24096,0.0
24350,0.0
