,hourly_cf_solar
176,0.0
430,0.0
684,0.0
938,0.0
1192,0.0
1446,0.0
1700,0.0
1954,0.0
2208,0.48881248043720893
2462,3.3405288552650996
2716,4.6517227289131196
2970,4.5780099557778815
3224,4.395217169871811
3478,4.541525855943268
3732,4.643160134053975
3986,4.782023085465307
4240,4.723201781650319
4494,4.46781308280803
4748,2.3446618444733747
5002,0.04281297429571898
5256,0.0
5510,0.0
5764,0.0
6018,0.0
6272,0.0
6526,0.0
6780,0.0
7034,0.0
7288,0.0
7542,0.0
7796,0.0
8050,0.0
8304,1.3212456154391885
8558,3.7029499898466858
8812,4.8860772273405555
9066,5.2617145409438635
9320,5.282934884725219
9574,5.27641986689761
9828,5.259853107278833
10082,5.367257829751136
10336,5.341756188540208
10590,4.762850318715485
10844,3.9482869468978063
11098,1.8670179660263533
11352,0.06589475174210586
11606,0.0
11860,0.0
12114,0.0
12368,0.0
12622,0.0
12876,0.0
13130,0.0
13384,0.0
13638,0.0
13892,0.0
14146,0.037600960033631455
14400,2.175643667688537
14654,4.5493438773363994
14908,5.316999120795291
15162,5.47708241598798
15416,5.502025627099399
15670,5.480805283318042
15924,5.457909649238158
16178,5.426079133566123
16432,5.43240800802723
16686,5.31811598099431
16940,4.88700794417307
17194,3.599268134704444
17448,1.0718135043249997
17702,0.0
17956,0.0
18210,0.0
18464,0.0
18718,0.0
18972,0.0
19226,0.0
19480,0.0
19734,0.0
19988,0.0
20242,0.0
20496,0.36744700547717074
20750,3.095750328313488
21004,4.261193945989561
21258,4.364503514398796
21512,4.08305474424607
21766,4.018649139435988
22020,4.24332418280526
22274,4.499085168380556
22528,4.155092227082779
22782,1.6473687935526653
23036,0.0
23290,0.0
23544,0.0
23798,0.0
24052,0.0
24306,0.0
