,hourly_cf_wind
178,69.34108724272338
432,71.61717530126151
686,69.11304817447665
940,65.43000209109546
1194,60.88212859794836
1448,60.662694777559985
1702,58.10693616362492
1956,53.567667918336184
2210,47.90541482753053
2464,41.64509701056836
2718,23.55686601228037
2972,18.260335955455314
3226,12.649714351799858
3480,16.306944691605953
3734,17.812863066820228
3988,16.113326614792687
4242,20.777370954027738
4496,23.651523738722407
4750,32.897862562538016
5004,46.81254834951789
5258,59.59134141919326
5512,63.14530878469895
5766,65.32673911679505
6020,67.37478810708646
6274,82.88359605982885
6528,84.93379636208485
6782,79.9814762195945
7036,60.176498273562245
7290,64.72006914278016
7544,58.30270555240277
7798,59.29661168004419
8052,55.58559854112331
8306,51.89179589791917
8560,44.69350606439494
8814,28.89642230839725
9068,24.006490212880042
9322,26.75801821559298
9576,25.64148730596983
9830,24.576587883496895
10084,24.092542691463734
10338,28.511337466735316
10592,37.32311127370338
10846,43.88676407767301
11100,48.43248625885551
11354,62.089014610084355
11608,77.43002022958859
11862,86.64624068589994
12116,88.71150017190807
12370,52.30699910708537
12624,52.55439998301345
12878,45.01835417104831
13132,39.68740312278979
13386,43.936244252858614
13640,42.01082004454896
13894,34.77380659566209
14148,29.475125226872454
14402,28.272541838665624
14656,18.752986395346845
14910,13.185391030983219
15164,10.100409673758557
15418,9.076385178612858
15672,12.122642920474869
15926,13.241325142062616
16180,14.92795372230259
16434,11.93978140348456
16688,15.414150226300345
16942,19.678050540121315
17196,28.326324637780413
17450,32.23525847744375
17704,44.803222974589126
17958,50.81829122758785
18212,53.73116762764516
18466,75.46372109395168
18720,67.12953854312299
18974,72.29483857010793
19228,69.77565225957092
19482,77.26221789635044
19736,85.58134126342699
19990,89.90978093618571
20244,78.07541381896614
20498,83.13745087165069
20752,71.82585256182692
21006,47.24926467833003
21260,31.875989379356906
21514,28.261785278842655
21768,34.64687918975117
22022,39.10654889235
22276,32.9021651864672
22530,28.272541838665624
22784,31.525325529128448
23038,57.13239184366482
23292,74.04170388535648
23546,70.79322281882284
23800,72.98971233467108
24054,72.55514731782355
24308,71.8796353609417
