,hourly_cf_wind
194,0.0
448,0.0
702,0.0
956,0.0
1210,0.0
1464,0.0
1718,0.0
1972,0.0
2226,0.0
2480,0.0
2734,0.0
2988,0.0
3242,0.0
3496,0.0
3750,0.0
4004,0.0
4258,0.0
4512,0.0
4766,0.0
5020,0.0
5274,0.0
5528,0.0
5782,0.0
6036,0.0
6290,0.0
6544,0.0
6798,0.0
7052,0.0
7306,0.0
7560,0.0
7814,0.0
8068,0.0
8322,0.0
8576,0.0
8830,0.0
9084,0.0
9338,0.0
9592,0.0
9846,0.0
10100,0.0
10354,0.0
10608,0.0
10862,0.0
11116,0.0
11370,0.0
11624,0.0
11878,0.0
12132,0.0
12386,0.0
12640,0.0
12894,0.0
13148,0.0
13402,0.0
13656,0.0
13910,0.0
14164,0.0
14418,0.0
14672,0.0
14926,0.0
15180,0.0
15434,0.0
15688,0.0
15942,0.0
16196,0.0
16450,0.0
16704,0.0
16958,0.0
17212,0.0
17466,0.0
17720,0.0
17974,0.0
18228,0.0
18482,0.0
18736,0.0
18990,0.0
19244,0.0
19498,0.0
19752,0.0
20006,0.0
20260,0.0
20514,0.0
20768,0.0
21022,0.0
21276,0.0
21530,0.0
21784,0.0
22038,0.0
22292,0.0
22546,0.0
22800,0.0
23054,0.0
23308,0.0
23562,0.0
23816,0.0
24070,0.0
24324,0.0
