,hourly_cf_solar
164,0.0
418,0.0
672,0.0
926,0.0
1180,0.0
1434,0.0
1688,0.0
1942,0.0
2196,2.0210612505567878
2450,16.08844797472928
2704,26.029668066576924
2958,25.077167912849173
3212,24.2407287022227
3466,24.652945155306558
3720,25.22924776932671
3974,25.693491541731834
4228,25.36531921985925
4482,24.300760224516463
4736,14.383552741586326
4990,0.6083194259101619
5244,0.0
5498,0.0
5752,0.0
6006,0.0
6260,0.0
6514,0.0
6768,0.0
7022,0.0
7276,0.0
7530,0.0
7784,0.0
8038,0.0
8292,6.887616657838082
8546,18.727833904911858
8800,27.278323730287255
9054,28.49896468359383
9308,29.19332929145839
9562,29.141301972137132
9816,29.687588825010398
10070,29.509495308872225
10324,29.217341900375903
10578,27.810603227958648
10832,22.51982506313474
11086,13.339004253674798
11340,0.8804623269752342
11594,0.0
11848,0.0
12102,0.0
12356,0.0
12610,0.0
12864,0.0
13118,0.0
13372,0.0
13626,0.0
13880,0.0
14134,0.03401786263313405
14388,10.399460712023393
14642,24.42682642133337
14896,29.093276754302114
15150,29.823660275542935
15404,29.76362875324917
15658,29.651569911634134
15912,29.47747849698222
16166,29.483481649211594
16420,29.153308276595883
16674,28.99322421714584
16928,27.37037206447103
17182,21.023039107276848
17436,6.823583034058061
17690,0.0
17944,0.0
18198,0.0
18452,0.0
18706,0.0
18960,0.0
19214,0.0
19468,0.0
19722,0.0
19976,0.0
20230,0.0
20484,0.8604518195439789
20738,16.25053308492245
20992,24.468848486939006
21246,24.090649896488284
21500,22.561847128740375
21754,22.137624371197766
22008,23.194179163568045
22262,24.448837979507754
22516,23.442309455715613
22770,10.949749666382914
23024,0.030015761146882987
23278,0.0
23532,0.0
23786,0.0
24040,0.0
24294,0.0
