,hourly_cf_solar
118,0.0
372,0.0
626,0.0
880,0.0
1134,0.0
1388,0.0
1642,0.0
1896,0.0
2150,0.0
2404,0.0
2658,0.0
2912,0.0
3166,0.0
3420,0.0
3674,0.0
3928,0.0
4182,0.0
4436,0.0
4690,0.0
4944,0.0
5198,0.0
5452,0.0
5706,0.0
5960,0.0
6214,0.0
6468,0.0
6722,0.0
6976,0.0
7230,0.0
7484,0.0
7738,0.0
7992,0.0
8246,0.0
8500,0.0
8754,0.0
9008,0.0
9262,0.0
9516,0.0
9770,0.0
10024,0.0
10278,0.0
10532,0.0
10786,0.0
11040,0.0
11294,0.0
11548,0.0
11802,0.0
12056,0.0
12310,0.0
12564,0.0
12818,0.0
13072,0.0
13326,0.0
13580,0.0
13834,0.0
14088,0.0
14342,0.0
14596,0.0
14850,0.0
15104,0.0
15358,0.0
15612,0.0
15866,0.0
16120,0.0
16374,0.0
16628,0.0
16882,0.0
17136,0.0
17390,0.0
17644,0.0
17898,0.0
18152,0.0
18406,0.0
18660,0.0
18914,0.0
19168,0.0
19422,0.0
19676,0.0
19930,0.0
20184,0.0
20438,0.0
20692,0.0
20946,0.0
21200,0.0
21454,0.0
21708,0.0
21962,0.0
22216,0.0
22470,0.0
22724,0.0
22978,0.0
23232,0.0
23486,0.0
23740,0.0
23994,0.0
24248,0.0
