,hourly_cf_solar
191,0.0
445,0.0
699,0.0
953,0.0
1207,0.0
1461,0.0
1715,0.0
1969,0.0
2223,1.014711025490638
2477,10.188108680178727
2731,16.35324688050821
2985,16.220001998373075
3239,15.487155146629838
3493,15.382096681869442
3747,15.94582502936424
4001,16.35580928208773
4255,15.687022469832536
4509,15.177104555507698
4763,8.681416551419902
5017,0.2767393705883558
5271,0.0
5525,0.0
5779,0.0
6033,0.0
6287,0.0
6541,0.0
6795,0.0
7049,0.0
7303,0.0
7557,0.0
7811,0.0
8065,0.0
8319,3.686014672142128
8573,10.760805433201853
8827,16.53517739265426
9081,17.31542867361865
9335,17.88043822190321
9589,18.51719501441438
9843,18.626097081544057
10097,18.60047306574884
10351,18.17639560433798
10605,17.097624539359295
10859,14.9541756180893
11113,7.760233183581811
11367,0.3933286424565957
11621,0.0
11875,0.0
12129,0.0
12383,0.0
12637,0.0
12891,0.0
13145,0.0
13399,0.0
13653,0.0
13907,0.0
14161,0.015374409477130875
14415,6.578966055422254
14669,15.661398454037318
14923,18.626097081544057
15177,19.118078184812244
15431,19.087329365857983
15685,19.032237731898263
15939,18.904117652922174
16193,18.822120802377476
16447,18.834932810275085
16701,18.282735269888136
16955,16.96822325959344
17209,12.635202188622058
17463,3.800041542430848
17717,0.0
17971,0.0
18225,0.0
18479,0.0
18733,0.0
18987,0.0
19241,0.0
19495,0.0
19749,0.0
20003,0.0
20257,0.0
20511,1.0147110254906353
20765,10.377726397063343
21019,15.098951307332284
21273,15.506373158476253
21527,14.617219810382178
21781,14.302044416100996
22035,14.88499077544221
22289,15.670366859565647
22543,15.03489126784424
22797,6.819831803897305
23051,0.024342815005457222
23305,0.0
23559,0.0
23813,0.0
24067,0.0
24321,0.0
