,hourly_cf_solar
167,0.0
421,0.0
675,0.0
929,0.0
1183,0.0
1437,0.0
1691,0.0
1945,0.0
2199,0.04071981215936416
2453,0.312500884013725
2707,0.46241389550562384
2961,0.4615397671587323
3215,0.4618311432743628
3469,0.45848031794461186
3723,0.4554937127593991
3977,0.4662017850088205
4231,0.4740689401308444
4485,0.4511230710249414
4739,0.24002107525063493
4993,0.006264586486056025
5247,0.0
5501,0.0
5755,0.0
6009,0.0
6263,0.0
6517,0.0
6771,0.0
7025,0.0
7279,0.0
7533,0.0
7787,0.0
8041,0.0
8295,0.12223228050700012
8549,0.38632830731160617
8803,0.5004749006098596
9057,0.5185402197789514
9311,0.5190501279813048
9565,0.5188315958945819
9819,0.5248412282794611
10073,0.5312879248377862
10327,0.5123120553073491
10581,0.5088519639342368
10835,0.4156116069324727
11089,0.1943114471110982
11343,0.007211558861855119
11597,0.0
11851,0.0
12105,0.0
12359,0.0
12613,0.0
12867,0.0
13121,0.0
13375,0.0
13629,0.0
13883,0.0
14137,0.0020396328094135895
14391,0.20134089590068432
14645,0.4324385776101348
14899,0.5225102193544171
15153,0.5405026944946012
15407,0.5376981993816575
15661,0.5339103098784609
15915,0.53055948454871
16169,0.5266987510166057
16423,0.5275364573490434
16677,0.5191229720102124
16931,0.48437637022127367
17185,0.35828335618216933
17439,0.10813696091337406
17693,0.0
17947,0.0
18201,0.0
18455,0.0
18709,0.0
18963,0.0
19217,0.0
19471,0.0
19725,0.0
19979,0.0
20233,0.0
20487,0.023929263496155862
20741,0.2973129039864845
20995,0.4303261007718136
21249,0.42548197284945627
21503,0.4025361037435534
21757,0.39463252660707576
22011,0.41495601067230403
22265,0.4364449992000544
22519,0.41499243268675784
22773,0.1673955784297296
23027,0.0
23281,0.0
23535,0.0
23789,0.0
24043,0.0
24297,0.0
