,Unnamed: 0,County Index,County Name,cfips,bestbus
176,176,176,Nolan,48353,3003049
177,177,177,Nueces,48355,3004081
178,178,178,Ochiltree,48357,3001002
179,179,179,Oldham,48359,3001002
180,180,180,Orange,48361,3001002
181,181,181,Palo Pinto,48363,3005414
182,182,182,Panola,48365,3001002
183,183,183,Parker,48367,3005339
184,184,184,Parmer,48369,3001002
185,185,185,Pecos,48371,3001070
186,186,186,Polk,48373,3001002
187,187,187,Potter,48375,3001002
188,188,188,Presidio,48377,3001011
189,189,189,Rains,48379,3008074
190,190,190,Randall,48381,3001002
191,191,191,Reagan,48383,3001002
192,192,192,Real,48385,3003006
193,193,193,Red River,48387,3002041
194,194,194,Reeves,48389,3001032
195,195,195,Refugio,48391,3004150
196,196,196,Roberts,48393,3002027
197,197,197,Robertson,48395,3008083
198,198,198,Rockwall,48397,3005179
199,199,199,Runnels,48399,3003140
200,200,200,Rusk,48401,3008075
201,201,201,Sabine,48403,3001002
202,202,202,San Augustine,48405,3001002
203,203,203,San Jacinto,48407,3001002
204,204,204,San Patricio,48409,3004057
205,205,205,San Saba,48411,3003026
206,206,206,Schleicher,48413,3003019
207,207,207,Scurry,48415,3003079
208,208,208,Shackelford,48417,3005395
209,209,209,Shelby,48419,3001002
210,210,210,Sherman,48421,3001002
211,211,211,Smith,48423,3008134
212,212,212,Somervell,48425,3005261
213,213,213,Starr,48427,3004045
214,214,214,Stephens,48429,3005135
215,215,215,Sterling,48431,3003059
216,216,216,Stonewall,48433,3002067
217,217,217,Sutton,48435,3003010
218,218,218,Swisher,48437,3001002
219,219,219,Tarrant,48439,3005064
220,220,220,Taylor,48441,3003089
221,221,221,Terrell,48443,3001088
222,222,222,Terry,48445,3001002
223,223,223,Throckmorton,48447,3005473
224,224,224,Titus,48449,3008127
225,225,225,Tom Green,48451,3003115
226,226,226,Travis,48453,3006255
227,227,227,Trinity,48455,3001002
228,228,228,Tyler,48457,3001002
229,229,229,Upshur,48459,3001002
230,230,230,Upton,48461,3001034
231,231,231,Uvalde,48463,3003127
232,232,232,Val Verde,48465,3003051
233,233,233,Van Zandt,48467,3008021
234,234,234,Victoria,48469,3007019
235,235,235,Walker,48471,3001002
236,236,236,Waller,48473,3007252
237,237,237,Ward,48475,3001048
238,238,238,Washington,48477,3006063
239,239,239,Webb,48479,3004197
240,240,240,Wharton,48481,3007305
241,241,241,Wheeler,48483,3001002
242,242,242,Wichita,48485,3002055
243,243,243,Wilbarger,48487,3002062
244,244,244,Willacy,48489,3004184
245,245,245,Williamson,48491,3006119
246,246,246,Wilson,48493,3006322
247,247,247,Winkler,48495,3001086
248,248,248,Wise,48497,3005205
249,249,249,Wood,48499,3008137
250,250,250,Yoakum,48501,3001002
251,251,251,Young,48503,3005237
252,252,252,Zapata,48505,3004032
253,253,253,Zavala,48507,3004037
